Epoch,Train Loss,Val Precision,Val Recall,Val F1-score
1,0.8072,0.2609,0.7867,0.3528
2,0.6621,0.3107,0.8141,0.4073
3,0.6157,0.3002,0.8182,0.396
4,0.5796,0.319,0.8102,0.4141
5,0.5503,0.3665,0.8347,0.4651
6,0.5249,0.3559,0.8355,0.4544
7,0.5004,0.3861,0.8291,0.4852
8,0.4848,0.3662,0.8377,0.4629
9,0.4595,0.3711,0.8168,0.4658
10,0.4411,0.3965,0.8181,0.4949
11,0.4283,0.3264,0.7933,0.4229
12,0.411,0.3793,0.7896,0.4763
13,0.3968,0.3935,0.794,0.4914
14,0.3817,0.3798,0.7442,0.4722
15,0.3687,0.4126,0.7776,0.5059
16,0.3581,0.457,0.7784,0.5457
17,0.3515,0.4566,0.7825,0.5458
18,0.3397,0.4517,0.7796,0.5403
19,0.328,0.4652,0.7634,0.5503
20,0.3185,0.45,0.7655,0.5379
21,0.3121,0.4809,0.7492,0.5607
22,0.3043,0.4927,0.772,0.5741
23,0.2965,0.4336,0.754,0.5208
24,0.2886,0.4468,0.7425,0.5298
25,0.2796,0.4916,0.7457,0.5687
26,0.2752,0.5787,0.7507,0.6339
27,0.2706,0.4848,0.7174,0.5566
28,0.2649,0.4881,0.7259,0.5602
29,0.2593,0.4984,0.7534,0.5744
30,0.2541,0.4792,0.7288,0.5545
31,0.2464,0.466,0.7383,0.5431
32,0.2411,0.5205,0.7403,0.5899
33,0.2375,0.5463,0.7424,0.6083
34,0.2334,0.5009,0.7399,0.574
35,0.2278,0.5002,0.7208,0.567
36,0.2234,0.5048,0.7208,0.5743
37,0.2206,0.5599,0.7445,0.619
38,0.2187,0.5582,0.7282,0.6133
39,0.214,0.5222,0.721,0.5857
40,0.2107,0.5491,0.7252,0.604
41,0.2029,0.5205,0.7268,0.5853
42,0.199,0.5918,0.7318,0.6367
43,0.1986,0.5665,0.7036,0.6095
44,0.1942,0.5889,0.7382,0.6382
45,0.1923,0.5767,0.7268,0.6259
46,0.19,0.5517,0.7295,0.6095
47,0.1859,0.5632,0.7143,0.6114
48,0.1845,0.5892,0.7341,0.6357
49,0.1789,0.5511,0.6928,0.5959
50,0.1775,0.5741,0.7255,0.6229
51,0.1756,0.592,0.7209,0.6321
52,0.1733,0.4932,0.6865,0.5541
53,0.1713,0.5998,0.7278,0.6402
54,0.1713,0.5974,0.7362,0.6418
55,0.1697,0.5819,0.734,0.6317
56,0.1642,0.5899,0.718,0.6324
57,0.1614,0.5838,0.7256,0.6301
58,0.1596,0.6024,0.7137,0.6374
59,0.1596,0.5409,0.7085,0.5958
60,0.1593,0.6314,0.7391,0.6654
61,0.1537,0.5799,0.7272,0.6282
62,0.1505,0.6081,0.7338,0.6494
63,0.1512,0.5914,0.7227,0.6331
64,0.151,0.6153,0.7315,0.6529
65,0.1483,0.6432,0.7397,0.6724
66,0.1462,0.5994,0.7258,0.6398
67,0.1434,0.6497,0.7312,0.675
68,0.1435,0.5847,0.723,0.6289
69,0.1411,0.6359,0.7244,0.6633
70,0.1415,0.6533,0.7285,0.675
71,0.1386,0.6205,0.7204,0.6514
72,0.1358,0.61,0.7153,0.6423
73,0.1375,0.6306,0.7105,0.6533
74,0.1385,0.6397,0.7248,0.6655
75,0.1321,0.6748,0.7229,0.685
76,0.1329,0.6544,0.7127,0.6683
77,0.1295,0.6543,0.6998,0.6638
78,0.1286,0.6486,0.713,0.6661
79,0.1302,0.659,0.7179,0.6739
80,0.1259,0.661,0.7127,0.6728
81,0.1253,0.6348,0.7209,0.6604
82,0.1258,0.6469,0.7244,0.6696
83,0.1224,0.5991,0.7065,0.6317
84,0.1229,0.583,0.6759,0.6119
85,0.1216,0.6521,0.7052,0.6645
86,0.1204,0.6677,0.7176,0.6784
87,0.1193,0.6372,0.7144,0.6579
88,0.1185,0.6502,0.7029,0.6612
89,0.1198,0.6218,0.7018,0.645
90,0.1178,0.6349,0.7164,0.6584
91,0.1149,0.6764,0.7141,0.6817
92,0.1167,0.6737,0.7178,0.6822
93,0.1122,0.6787,0.7147,0.6835
94,0.1113,0.6766,0.7037,0.6777
95,0.1117,0.6608,0.6995,0.6659
96,0.1143,0.6363,0.6968,0.6518
97,0.1096,0.6356,0.7024,0.6532
98,0.1084,0.6285,0.6684,0.6342
99,0.1097,0.5906,0.6808,0.6193
100,0.1075,0.6657,0.7105,0.6738
101,0.1071,0.6402,0.7056,0.6577
102,0.107,0.6942,0.7152,0.6923
103,0.1069,0.691,0.7074,0.6866
104,0.106,0.6749,0.7039,0.6769
105,0.1033,0.6866,0.6895,0.6758
106,0.1038,0.6527,0.6901,0.6583
107,0.1046,0.6595,0.7009,0.6653
108,0.1025,0.6717,0.6833,0.6643
109,0.1013,0.6368,0.6948,0.6494
110,0.1012,0.6089,0.6928,0.6336
111,0.1031,0.6742,0.7071,0.6772
112,0.1001,0.6309,0.694,0.6473
113,0.0987,0.6885,0.7122,0.6877
114,0.0964,0.6796,0.6982,0.6753
115,0.097,0.6438,0.6923,0.6544
116,0.0981,0.6008,0.6936,0.6286
117,0.0991,0.6499,0.6998,0.6603
118,0.0976,0.663,0.6745,0.6556
119,0.0968,0.6752,0.7108,0.6801
120,0.0958,0.6544,0.6941,0.6607
121,0.1018,0.6723,0.6866,0.6668
122,0.0914,0.6849,0.6992,0.6793
123,0.0903,0.6666,0.6952,0.6673
124,0.0928,0.6807,0.7067,0.6809
125,0.092,0.6912,0.7001,0.6834
126,0.0917,0.708,0.7005,0.6913
127,0.0911,0.6537,0.69,0.658
128,0.0915,0.6914,0.6966,0.682
129,0.0921,0.6805,0.7054,0.6785
130,0.082,0.7086,0.7029,0.6937
131,0.0741,0.717,0.7031,0.6976
132,0.0704,0.7089,0.7041,0.6942
133,0.069,0.7312,0.7019,0.7036
134,0.0681,0.7214,0.7031,0.7002
135,0.0674,0.6843,0.6958,0.6764
136,0.0669,0.6798,0.7067,0.6785
137,0.0665,0.7184,0.6836,0.6876
138,0.0654,0.7026,0.6919,0.6844
139,0.0648,0.7201,0.7003,0.6981
140,0.0645,0.7264,0.7003,0.6993
141,0.0651,0.7258,0.6962,0.6989
142,0.063,0.7149,0.6789,0.6839
143,0.0623,0.7338,0.6941,0.7011
144,0.0626,0.7293,0.6961,0.6998
145,0.0624,0.7403,0.693,0.7034
146,0.0609,0.7057,0.6846,0.6826
147,0.0623,0.6985,0.7008,0.6873
148,0.0607,0.7247,0.6942,0.6967
149,0.0597,0.7178,0.6945,0.6934
