                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3303,                 1.1552,                  1.216,                0.78629,                 0.6723,                0.77069,                0.49959,                 1.3106,                0.96465,                 1.2375,             0.00023755,             0.00023755,             0.00023755
                      2,                 1.2573,                0.89102,                 1.1739,                0.78653,                0.68566,                 0.7798,                0.50164,                 1.3193,                0.94845,                 1.2505,             0.00046927,             0.00046927,             0.00046927
                      3,                 1.2597,                0.87891,                 1.1837,                0.79799,                0.69601,                0.79273,                0.51729,                 1.2868,                0.90328,                 1.2248,             0.00069471,             0.00069471,             0.00069471
                      4,                 1.2226,                0.82521,                 1.1592,                0.80353,                0.71046,                0.80254,                0.52593,                 1.2541,                0.87294,                   1.22,             0.00068573,             0.00068573,             0.00068573
                      5,                 1.2111,                0.80104,                 1.1545,                0.80573,                0.71493,                0.80451,                0.53191,                 1.2413,                0.87335,                 1.2097,              0.0006763,              0.0006763,              0.0006763
                      6,                 1.1886,                0.78025,                 1.1385,                 0.8209,                 0.7186,                0.81471,                0.54285,                 1.2259,                0.83472,                 1.1936,             0.00066688,             0.00066688,             0.00066688
                      7,                 1.1733,                0.77057,                 1.1337,                0.82734,                0.71949,                0.81829,                0.55001,                 1.2037,                0.81701,                   1.18,             0.00065745,             0.00065745,             0.00065745
                      8,                 1.1636,                0.75806,                 1.1307,                0.81011,                0.71913,                0.81356,                0.54603,                 1.2092,                0.83856,                 1.1846,             0.00064803,             0.00064803,             0.00064803
                      9,                 1.1552,                 0.7505,                 1.1257,                 0.8276,                 0.7208,                0.82019,                0.55071,                 1.2045,                0.80812,                 1.1885,              0.0006386,              0.0006386,              0.0006386
                     10,                 1.1415,                0.73677,                 1.1237,                0.82431,                0.72886,                0.82512,                0.55559,                 1.1813,                0.80179,                 1.1799,             0.00062918,             0.00062918,             0.00062918
                     11,                 1.1441,                  0.736,                 1.1138,                0.81965,                0.72514,                0.82196,                 0.5577,                 1.1789,                0.79955,                 1.1663,             0.00061975,             0.00061975,             0.00061975
                     12,                 1.1373,                0.72755,                 1.1174,                0.81786,                0.73436,                0.82694,                0.56137,                 1.1711,                0.78816,                 1.1719,             0.00061033,             0.00061033,             0.00061033
                     13,                 1.1127,                0.71844,                 1.1086,                0.82965,                0.73868,                0.83359,                0.56723,                 1.1635,                0.77644,                 1.1567,              0.0006009,              0.0006009,              0.0006009
                     14,                  1.118,                0.71084,                 1.1081,                0.82899,                0.73635,                0.82937,                0.56717,                 1.1584,                0.77939,                 1.1724,             0.00059148,             0.00059148,             0.00059148
                     15,                 1.1041,                0.69484,                 1.1005,                0.82433,                0.74279,                0.83413,                0.56745,                 1.1522,                0.77689,                 1.1506,             0.00058205,             0.00058205,             0.00058205
                     16,                 1.1095,                0.69764,                  1.095,                0.82875,                0.73979,                0.83442,                0.57231,                 1.1512,                0.76077,                 1.1526,             0.00057263,             0.00057263,             0.00057263
                     17,                 1.0957,                0.69006,                 1.0946,                0.83281,                0.73815,                0.83608,                0.57227,                  1.149,                0.75974,                 1.1621,              0.0005632,              0.0005632,              0.0005632
                     18,                 1.0894,                0.68195,                 1.0916,                0.83673,                0.74374,                0.83933,                0.57644,                 1.1417,                0.74314,                 1.1505,             0.00055378,             0.00055378,             0.00055378
                     19,                 1.0923,                0.67907,                 1.0902,                0.83148,                0.74972,                0.84057,                0.57696,                 1.1394,                0.74783,                 1.1539,             0.00054435,             0.00054435,             0.00054435
                     20,                 1.0898,                0.68256,                 1.0919,                0.83991,                0.74355,                0.84193,                0.58081,                 1.1304,                0.73952,                 1.1572,             0.00053493,             0.00053493,             0.00053493
                     21,                 1.0897,                0.67983,                  1.094,                0.84001,                0.74217,                0.83995,                0.57848,                 1.1379,                0.73801,                  1.164,              0.0005255,              0.0005255,              0.0005255
                     22,                 1.0798,                0.68154,                 1.0911,                0.83464,                0.74811,                0.84168,                 0.5795,                 1.1324,                0.73591,                 1.1554,             0.00051608,             0.00051608,             0.00051608
                     23,                 1.0909,                0.67827,                 1.0948,                0.83765,                0.74513,                0.84223,                0.58063,                 1.1336,                0.73591,                 1.1563,             0.00050665,             0.00050665,             0.00050665
                     24,                 1.0806,                0.67479,                 1.0907,                 0.8366,                0.74871,                0.84281,                0.58075,                 1.1274,                0.73453,                 1.1554,             0.00049723,             0.00049723,             0.00049723
                     25,                 1.0711,                0.66864,                 1.0858,                0.83746,                0.75196,                0.84507,                0.58426,                 1.1271,                0.72626,                 1.1506,              0.0004878,              0.0004878,              0.0004878
                     26,                 1.0706,                0.65595,                 1.0781,                0.84221,                0.74911,                0.84469,                0.58349,                 1.1239,                0.72491,                 1.1489,             0.00047838,             0.00047838,             0.00047838
                     27,                 1.0737,                0.65894,                 1.0808,                0.83863,                 0.7567,                0.84791,                0.58757,                 1.1143,                0.71744,                 1.1438,             0.00046896,             0.00046896,             0.00046896
                     28,                 1.0715,                0.65783,                 1.0817,                0.83896,                0.75367,                0.84666,                0.58588,                  1.122,                0.72142,                 1.1549,             0.00045953,             0.00045953,             0.00045953
                     29,                 1.0642,                0.65316,                   1.08,                0.84373,                0.75284,                0.84729,                0.58696,                 1.1162,                0.71427,                   1.14,             0.00045011,             0.00045011,             0.00045011
                     30,                 1.0518,                0.63897,                 1.0729,                0.83961,                0.75714,                0.84798,                0.58928,                 1.1106,                0.71107,                 1.1388,             0.00044068,             0.00044068,             0.00044068
                     31,                 1.0623,                0.65714,                 1.0804,                0.83802,                0.75846,                0.84837,                0.58858,                 1.1165,                0.71035,                 1.1418,             0.00043126,             0.00043126,             0.00043126
                     32,                  1.046,                0.63531,                 1.0688,                0.83617,                0.75501,                0.84681,                0.58841,                 1.1121,                0.71511,                 1.1439,             0.00042183,             0.00042183,             0.00042183
                     33,                 1.0511,                0.63427,                 1.0725,                0.84323,                0.75585,                0.84967,                0.59137,                 1.1094,                0.70379,                 1.1418,             0.00041241,             0.00041241,             0.00041241
                     34,                 1.0412,                0.62958,                 1.0696,                0.84397,                0.75615,                   0.85,                0.59004,                 1.1135,                0.70759,                 1.1369,             0.00040298,             0.00040298,             0.00040298
                     35,                 1.0366,                0.63006,                 1.0662,                0.84359,                0.75734,                0.85115,                0.59193,                 1.1066,                0.70237,                 1.1495,             0.00039356,             0.00039356,             0.00039356
                     36,                  1.034,                0.61635,                 1.0682,                0.84011,                0.75679,                0.84806,                0.58908,                 1.1108,                0.71303,                 1.1496,             0.00038413,             0.00038413,             0.00038413
                     37,                 1.0474,                0.63812,                  1.069,                0.84475,                0.75906,                0.84986,                0.59144,                 1.1071,                0.69947,                 1.1353,             0.00037471,             0.00037471,             0.00037471
                     38,                 1.0352,                0.62222,                 1.0658,                0.84545,                 0.7603,                0.85119,                0.59285,                 1.1075,                0.69963,                 1.1425,             0.00036528,             0.00036528,             0.00036528
                     39,                 1.0322,                0.61684,                 1.0628,                0.84628,                0.75744,                0.85147,                0.59299,                  1.107,                0.69733,                  1.132,             0.00035586,             0.00035586,             0.00035586
                     40,                 1.0309,                0.61609,                 1.0622,                0.84668,                0.76028,                0.85219,                0.59348,                 1.1057,                0.69337,                 1.1374,             0.00034643,             0.00034643,             0.00034643
                     41,                 1.0219,                0.60538,                 1.0614,                0.85064,                0.75589,                0.85221,                0.59422,                 1.1006,                 0.6944,                 1.1347,             0.00033701,             0.00033701,             0.00033701
                     42,                 1.0255,                0.61442,                  1.061,                 0.8466,                0.76164,                0.85183,                0.59342,                 1.1035,                0.69526,                 1.1432,             0.00032758,             0.00032758,             0.00032758
                     43,                 1.0199,                0.60652,                 1.0568,                0.85019,                0.75548,                0.85125,                0.59402,                 1.1015,                0.69449,                  1.137,             0.00031816,             0.00031816,             0.00031816
                     44,                 1.0174,                0.60544,                 1.0556,                0.84559,                 0.7582,                0.85092,                 0.5938,                 1.0996,                0.69598,                  1.128,             0.00030873,             0.00030873,             0.00030873
                     45,                 1.0279,                0.60053,                  1.052,                0.84878,                0.75966,                0.85238,                0.59395,                  1.098,                0.69069,                 1.1167,             0.00029931,             0.00029931,             0.00029931
                     46,                 1.0189,                0.60003,                 1.0535,                0.84529,                0.76088,                0.85186,                0.59502,                 1.0965,                0.68968,                 1.1313,             0.00028988,             0.00028988,             0.00028988
