                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.387,                 1.3019,                 1.2643,                0.77672,                0.65329,                0.75647,                0.49426,                 1.2848,                0.99041,                 1.2002,               0.003327,               0.003327,               0.003327
                      2,                 1.2293,                0.88883,                 1.1232,                0.79753,                 0.6961,                0.79073,                0.51925,                 1.2664,                0.89876,                 1.1523,              0.0066164,              0.0066164,              0.0066164
                      3,                 1.2599,                0.90419,                 1.1508,                0.78649,                0.68933,                0.77966,                0.50151,                 1.3051,                0.95588,                 1.2065,              0.0098618,              0.0098618,              0.0098618
                      4,                 1.2586,                0.87649,                 1.1575,                0.79767,                0.70399,                0.79249,                0.51948,                 1.2671,                0.89597,                 1.2071,               0.009802,               0.009802,               0.009802
                      5,                 1.2447,                0.83494,                 1.1565,                0.80338,                0.70097,                0.79408,                0.51779,                 1.2684,                0.92342,                 1.2191,               0.009736,               0.009736,               0.009736
                      6,                 1.2232,                0.81807,                 1.1442,                0.81783,                0.70728,                0.80631,                0.53421,                 1.2439,                0.87029,                  1.207,                0.00967,                0.00967,                0.00967
                      7,                 1.2023,                0.80665,                 1.1409,                0.81243,                0.68607,                 0.7882,                0.52217,                 1.2475,                0.92127,                 1.2045,               0.009604,               0.009604,               0.009604
                      8,                 1.1904,                0.78798,                 1.1356,                0.81284,                0.71589,                0.80848,                0.53841,                 1.2251,                0.84699,                 1.1704,               0.009538,               0.009538,               0.009538
                      9,                 1.1877,                0.78253,                 1.1331,                0.81637,                  0.726,                0.81902,                 0.5488,                 1.2081,                0.81797,                 1.1806,               0.009472,               0.009472,               0.009472
                     10,                 1.1664,                0.76609,                 1.1291,                0.82278,                0.72541,                0.82246,                0.55392,                 1.1816,                0.81581,                 1.1639,               0.009406,               0.009406,               0.009406
                     11,                 1.1702,                0.76284,                 1.1244,                0.81715,                0.72718,                0.82088,                0.55268,                 1.1965,                0.81042,                   1.18,                0.00934,                0.00934,                0.00934
                     12,                 1.1619,                0.75224,                 1.1279,                 0.8238,                0.72473,                0.82327,                0.55522,                 1.1893,                0.80448,                  1.177,               0.009274,               0.009274,               0.009274
                     13,                 1.1405,                0.73986,                 1.1167,                0.82711,                0.73704,                0.82965,                0.56242,                 1.1745,                0.78308,                 1.1615,               0.009208,               0.009208,               0.009208
                     14,                 1.1448,                0.73435,                  1.116,                0.83326,                 0.7247,                0.82534,                0.56259,                 1.1662,                 0.7873,                 1.1728,               0.009142,               0.009142,               0.009142
                     15,                 1.1287,                0.72037,                  1.109,                0.82676,                0.73782,                0.83119,                0.56138,                 1.1688,                 0.7878,                 1.1629,               0.009076,               0.009076,               0.009076
                     16,                 1.1332,                0.72249,                 1.1064,                0.82739,                0.73547,                0.83026,                0.56499,                 1.1631,                0.77527,                 1.1526,                0.00901,                0.00901,                0.00901
                     17,                  1.121,                0.71398,                  1.104,                0.82654,                0.73353,                0.83027,                0.56477,                 1.1647,                0.78407,                 1.1567,               0.008944,               0.008944,               0.008944
                     18,                 1.1148,                0.70687,                 1.0998,                0.83304,                0.73621,                0.83129,                0.56811,                 1.1545,                0.76938,                 1.1638,               0.008878,               0.008878,               0.008878
                     19,                 1.1154,                0.69834,                 1.0978,                0.83263,                0.74598,                0.83823,                0.57201,                 1.1559,                0.75227,                 1.1641,               0.008812,               0.008812,               0.008812
                     20,                 1.1159,                0.70459,                 1.1036,                0.83531,                0.74499,                0.83948,                0.57633,                 1.1455,                0.74922,                 1.1516,               0.008746,               0.008746,               0.008746
                     21,                 1.1118,                0.70321,                 1.1008,                0.83847,                0.74536,                0.83966,                0.57453,                 1.1476,                 0.7464,                 1.1576,                0.00868,                0.00868,                0.00868
                     22,                 1.1023,                0.70137,                 1.0982,                0.83495,                0.74275,                0.83765,                0.57395,                 1.1405,                0.75215,                 1.1567,               0.008614,               0.008614,               0.008614
                     23,                 1.1172,                0.70169,                 1.1036,                0.83583,                0.74689,                0.84148,                0.57726,                 1.1396,                0.74615,                   1.16,               0.008548,               0.008548,               0.008548
                     24,                 1.1038,                0.69543,                 1.0996,                0.83164,                0.74494,                0.83735,                0.57409,                 1.1359,                 0.7481,                 1.1562,               0.008482,               0.008482,               0.008482
                     25,                 1.0946,                0.69162,                  1.094,                0.83336,                0.74249,                0.83875,                 0.5756,                 1.1399,                0.74651,                 1.1586,               0.008416,               0.008416,               0.008416
                     26,                 1.0933,                0.68237,                 1.0914,                0.84259,                0.74224,                0.84076,                0.57799,                  1.132,                0.73635,                   1.15,                0.00835,                0.00835,                0.00835
                     27,                 1.0987,                0.68275,                 1.0927,                0.84174,                0.74402,                0.84304,                 0.5821,                 1.1269,                0.72783,                 1.1484,               0.008284,               0.008284,               0.008284
                     28,                 1.0982,                0.68117,                 1.0891,                0.83762,                 0.7509,                0.84407,                0.58179,                 1.1316,                0.73085,                 1.1485,               0.008218,               0.008218,               0.008218
